uncertainty_threshold,accept_rate,review_rate,block_rate,fraud_in_accept_rate,fraud_in_review_rate,fraud_in_block_rate,accept_count,review_count,block_count
0.16064051000000001,0.4983146659176293,0.5,0.0016853340823707033,3.5229874933943984e-05,0.0007022225343211264,0.8020833333333334,28385,28481,96
0.16883572881355932,0.5232962325761034,0.47501843334152594,0.0016853340823707033,3.3548040794417606e-05,0.0007391529307413703,0.8020833333333334,29808,27058,96
0.1772775152542373,0.5482426881078614,0.4500544222464099,0.0017028896457287315,3.202151846040539e-05,0.0007801529099703542,0.7938144329896907,31229,25636,97
0.18571930169491524,0.5740493662441628,0.4242477441101085,0.0017028896457287315,3.058197498394446e-05,0.0008276090374906894,0.7938144329896907,32699,24166,97
0.1941610881355932,0.5968189319195253,0.4014430673080299,0.0017380007724447878,5.883045064125191e-05,0.0007434293960729435,0.797979797979798,33996,22867,99
0.194703944,0.5982584881148836,0.40000351111267163,0.0017380007724447878,5.868889019308645e-05,0.0007461048935703314,0.797979797979798,34078,22785,99
0.20260287457627119,0.6180436080193813,0.3802008356448158,0.0017555563358028158,5.68101121999716e-05,0.0007387911529759431,0.8,35205,21657,100
0.21104466101694916,0.6398300621466942,0.3583792703907868,0.0017906674625188723,5.4875706524721505e-05,0.0007837758401097286,0.7843137254901961,36446,20414,102
0.21948644745762713,0.6581756258558337,0.3400337066816474,0.0017906674625188723,5.334613640607079e-05,0.0008260622644431824,0.7843137254901961,37491,19369,102
0.22792823389830508,0.6777325234366771,0.32045925353744603,0.0018082230258769003,5.180676078228209e-05,0.0008765202147474527,0.7766990291262136,38605,18254,103
0.23637002033898305,0.6958323092588041,0.3023068010252449,0.0018608897159509848,5.045917852457362e-05,0.0009291521486643438,0.7547169811320755,39636,17220,106
0.23746806199999998,0.6981320880587059,0.3000070222253432,0.0018608897159509848,5.029295647144617e-05,0.0009362747966528176,0.7547169811320755,39767,17089,106
0.24481180677966102,0.7127032056458692,0.28541834907482183,0.001878445279309013,4.926472399438382e-05,0.0009841308894082913,0.7476635514018691,40597,16258,107
0.25325359322033897,0.7294512130894281,0.2686352305045469,0.0019135564060250693,7.220042838920844e-05,0.0009802640177754543,0.7339449541284404,41551,15302,109
0.26169537966101697,0.7440223306765914,0.25402900179066745,0.0019486675327411256,7.078643731860976e-05,0.0010366275051831375,0.7207207207207207,42381,14470,111
0.2701371661016949,0.7573118921386187,0.24066921807520802,0.0020188897861732383,6.954425332653345e-05,0.0010212269312130718,0.7043478260869566,43138,13709,115
0.27857895254237286,0.7700396755731892,0.2278712123872055,0.002089112039605351,9.119303285229008e-05,0.0009244992295839754,0.6890756302521008,43863,12980,119
0.28702073898305086,0.7831361258382782,0.21463431761525228,0.0022295565464695763,8.96680042143962e-05,0.0008997219041387207,0.6535433070866141,44609,12226,127
0.2954625254237288,0.7949861311049472,0.20264386784171903,0.0023700010533338014,8.833141948591114e-05,0.0009529585029888244,0.6148148148148148,45284,11543,135
0.297492538,0.7976194656086514,0.20001053333801483,0.0023700010533338014,8.803979398688208e-05,0.0009655051347318529,0.6148148148148148,45434,11393,135
0.3039043118644068,0.806133913837295,0.19139075172922299,0.0024753344334819704,8.710991093011607e-05,0.001008989176297927,0.5886524822695035,45919,10902,141
0.31234609830508475,0.8172992521330009,0.1799971911098627,0.0027035567571363365,8.59198797121684e-05,0.0009753242953281966,0.5454545454545454,46555,10253,154
0.3207878847457627,0.827955479091324,0.16913029739124327,0.0029142235174326745,8.481404520588609e-05,0.0009341914054390699,0.5120481927710844,47162,9634,166
0.3292296711864407,0.8377339278817457,0.15907095958709316,0.003195112531161125,8.38240533120979e-05,0.0009932678512305484,0.46703296703296704,47719,9061,182
0.33767145762711864,0.8475825989255995,0.14883606614936273,0.0035813349250377446,8.285004142502072e-05,0.0009436187780136825,0.4215686274509804,48280,8478,204
0.3461132440677966,0.8561497138443173,0.13991783996348442,0.003932446192198308,8.202099737532808e-05,0.0010037641154328732,0.38392857142857145,48768,7970,224
0.3545550305084746,0.8648221621431832,0.13082405814402584,0.004353779712790984,8.119848970809142e-05,0.0010735373054213634,0.3467741935483871,49262,7452,248
0.36299681694915253,0.8737052772023455,0.12167760963449317,0.004617113163161406,8.037293039704228e-05,0.0011542345981820806,0.3269961977186312,49768,6931,263
0.3714386033898305,0.8817983919103964,0.11337382816614586,0.004827779923457743,7.963527046128731e-05,0.0012387736141220192,0.31272727272727274,50229,6458,275
0.3798803898305085,0.8898563954917313,0.10524560233137882,0.004898002176889856,9.864267676767677e-05,0.0011676396997497916,0.30824372759856633,50688,5995,279
